Country/geographical area,Daylight saving time (DST) Start date,UTC Start date
Afghanistan,No change – UTC+4.30,No change – UTC+4.30
Albania,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Algeria,No change – UTC+1,No change – UTC+1
American Samoa,No change – UTC-11,No change – UTC-11
Andorra,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Angola,No change – UTC+1,No change – UTC+1
Anguilla,No change – UTC-4,No change – UTC-4
Antigua and Barbuda,No change – UTC-4,No change – UTC-4
Argentina,No change – UTC-3,No change – UTC-3
Armenia,No change – UTC+4,No change – UTC+4
Aruba,No change – UTC-4,No change – UTC-4
Australia,　,　
  Western Australia,No change – UTC+8,No change – UTC+8
  South Australia,5.X.2014 – UTC+10.30,6.IV.2014 – UTC+9.30
  Northern Territory,No change – UTC+9.30,No change – UTC+9.30
  Queensland,No change – UTC+10,No change – UTC+10
"Victoria, New South Wales, Tasmania, Australian Capital Territory",5.X.2014 – UTC+11,6.IV.2014 – UTC+10
  Cocos-Keeling Islands,No change – UTC +6.30,No change – UTC +6.30
  Christmas Island,No change – UTC +7,No change – UTC +7
  Lord Howe Island,No change – UTC+10.30,No change – UTC+10.30
  Norfolk Island,No change – UTC+11.30,No change – UTC+11.30
Austria,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Azerbaijan,30.III.2014 – UTC+5,26.X.2014 – UTC+4
Bahamas,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
Bahrain,No change – UTC+3,No change – UTC+3
Bangladesh,No change – UTC+6,No change – UTC+6
Barbados,No change – UTC-4,No change – UTC-4
Belarus,No change – UTC+3,No change – UTC+3
Belgium,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Belize,No change – UTC-6,No change – UTC-6
Benin,No change – UTC+1,No change – UTC+1
Bermuda,9.III.2014 – UTC-3,2.XI.2014 – UTC-4
Bhutan,No change – UTC+6,No change – UTC+6
Bolivia (Plurinational State of),No change – UTC-4 ,No change – UTC-4 
"Bonaire, Sint Eustatius and Saba",No change – UTC-4,No change – UTC-4
Bosnia and Herzegovina,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Botswana,No change – UTC+2,No change – UTC+2
Brazil,　,　
"  Rio de Janeiro, and most locations",19.X.2014 – UTC-2,16.II.2014 – UTC-3
  Other states,No change – UTC-3,No change – UTC-3
British Virgin Islands,No change – UTC-4,No change – UTC-4
Brunei Darussalam,No change – UTC+8,No change – UTC+8
Bulgaria,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Burkina Faso,No change – UTC,No change – UTC
Burundi,No change – UTC+2,No change – UTC+2
Cabo Verde,No change – UTC-1,No change – UTC-1
Cambodia,No change – UTC+7,No change – UTC+7
Cameroon,No change – UTC+1,No change – UTC+1
Canada,　,　
  Alberta,9.III.2014 – UTC-6,2.XI.2014 – UTC-7
  British Columbia,9.III.2014 – UTC-7,2.XI.2014 – UTC-8
  Manitoba,9.III.2014 – UTC-5,2.XI.2014 – UTC-6
  New Brunswick,9.III.2014 – UTC-3,2.XI.2014 – UTC-4
  Newfoundland and Labrador,9.III.2014 – UTC-2.5,2.XI.2014 – UTC-3.5
  Northwest Territories,9.III.2014 – UTC-6,2.XI.2014 – UTC-7
  Nova Scotia,9.III.2014 – UTC-3,2.XI.2014 – UTC-4
  Nunavut (<86°W),9.III.2014 – UTC-4,2.XI.2014 – UTC-5
  Nunavut,9.III.2014 – UTC-5,2.XI.2014 – UTC-6
  Nunavut (>110°W),9.III.2014 – UTC-6,2.XI.2014 – UTC-7
  Ontario,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
  Ontario (>90°W),9.III.2014 – UTC-5,2.XI.2014 – UTC-6
  Prince Edward island,9.III.2014 – UTC-3,2.XI.2014 – UTC-4
  Quebec,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
  Quebec (<63°W),No change – UTC-4,No change – UTC-4
  Yukon,9.III.2014 – UTC-7,2.XI.2014 – UTC-8
  Saskatchewan,No change – UTC-6,No change – UTC-6
Cayman Islands,No change – UTC-5,No change – UTC-5
Central African Rep.,No change – UTC+1,No change – UTC+1
Chad,No change – UTC+1,No change – UTC+1
Chile,14.IX.2014 – UTC-3,27.IV.2014 – UTC-4
China,No change – UTC+8,No change – UTC+8
Colombia,No change – UTC-5,No change – UTC-5
Comoros,No change – UTC+3,No change – UTC+3
Congo,No change – UTC+1,No change – UTC+1
Cook Islands,No change – UTC-10,No change – UTC-10
Costa Rica,No change – UTC-6,No change – UTC-6
Côte d'Ivoire,No change – UTC,No change – UTC
Croatia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Cuba,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
Curaçao,No change – UTC-4,No change – UTC-4
Cyprus,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Czech Rep.,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Dem. People's Rep. of Korea,No change – UTC+9,No change – UTC+9
Dem. Rep. of the Congo,No change – UTC+1,No change – UTC+1
Denmark,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Diego Garcia,No change – UTC+6 ,No change – UTC+6 
Djibouti,No change – UTC+3 ,No change – UTC+3 
Dominica,No change – UTC-4 ,No change – UTC-4 
Dominican Rep.,No change – UTC-4,No change – UTC-4
Ecuador,No change – UTC-5,No change – UTC-5
Egypt,No change – UTC+2,No change – UTC+2
El Salvador,No change – UTC-6 ,No change – UTC-6 
Equatorial Guinea,No change – UTC+1 ,No change – UTC+1 
Eritrea,No change – UTC+3,No change – UTC+3
Estonia,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Ethiopia,No change – UTC+3,No change – UTC+3
Falkland Islands (Malvinas),No change – UTC-3,No change – UTC-3
Faroe Islands,30.III.2014 – UTC+1,26.X.2014 – UTC
Fiji,26.X.2014 – UTC+13,19.I.2014 – UTC+12
Finland,30.III.2014 – UTC+3,26.X.2014 – UTC+2
France,30.III.2014 – UTC+2,26.X.2014 – UTC+1
French Departments and Territories in the Indian Ocean,No change – UTC+4,No change – UTC+4
French Guiana,No change – UTC-3 ,No change – UTC-3 
French Polynesia,No change – UTC-10,No change – UTC-10
Gabon,No change – UTC+1,No change – UTC+1
Gambia,No change – UTC,No change – UTC
Georgia,No change – UTC+4,No change – UTC+4
Germany,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Ghana,No change – UTC,No change – UTC
Gibraltar,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Greece,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Greenland,29.III.2014 – UTC-2,25.X.2014 – UTC-3
Grenada,No change – UTC-4,No change – UTC-4
Guadeloupe,No change – UTC-4 ,No change – UTC-4 
Guam,No change – UTC+10 ,No change – UTC+10 
Guatemala,No change – UTC-6 ,No change – UTC-6 
Guinea,No change – UTC,No change – UTC
Guinea-Bissau,No change – UTC,No change – UTC
Guyana,No change – UTC-4 ,No change – UTC-4 
Haiti,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
Honduras,No change – UTC-6 ,No change – UTC-6 
"Hong Kong, China",No change – UTC+8,No change – UTC+8
Hungary,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Iceland,No change – UTC,No change – UTC
India,No change – UTC+5.30,No change – UTC+5.30
Indonesia,No change – UTC+7,No change – UTC+7
Iran (Islamic Republic of),22.III.2014 – UTC+4.30,22.IX.2014 – UTC+3.30
Iraq,No change – UTC+3,No change – UTC+3
Ireland,30.III.2014 – UTC+1,26.X.2014 – UTC
Israel,28.III.2014 – UTC+3,26.X.2014 – UTC+2
Italy,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Jamaica,No change – UTC-5 ,No change – UTC-5 
Japan,No change – UTC+9 ,No change – UTC+9 
Jordan,28.III.2014 – UTC+3,31.X.2014 – UTC+2
Kazakhstan,No change – UTC+6 ,No change – UTC+6 
Kenya,No change – UTC+3 ,No change – UTC+3 
Kiribati,No change – UTC+12 ,No change – UTC+12 
Korea (Rep. of),No change – UTC+9 ,No change – UTC+9 
Kuwait,No change – UTC+3 ,No change – UTC+3 
Kyrgyzstan,No change – UTC+6 ,No change – UTC+6 
Lao P.D.R.,No change – UTC+7,No change – UTC+7
Latvia,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Lebanon,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Lesotho,No change – UTC+2 ,No change – UTC+2 
Liberia,No change – UTC,No change – UTC
Libya,28.III.2014 – UTC+2,31.X.2014 – UTC+1
Liechtenstein,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Lithuania,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Luxembourg,30.III.2014 – UTC+2,26.X.2014 – UTC+1
"Macao, China",No change – UTC+8 ,No change – UTC+8 
Madagascar,No change – UTC+3 ,No change – UTC+3 
Malawi,No change – UTC+2 ,No change – UTC+2 
Malaysia,No change – UTC+8 ,No change – UTC+8 
Maldives,No change – UTC+5,No change – UTC+5
Mali,No change – UTC,No change – UTC
Malta,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Marshall Islands,No change – UTC+12 ,No change – UTC+12 
Martinique,No change – UTC-4 ,No change – UTC-4 
Mauritania,No change – UTC,No change – UTC
Mauritius,No change – UTC+4,No change – UTC+4
Mexico,　,　
  Zona Centro,6.IV.2014 – UTC-5,26.X.2014 – UTC-6
  Zona Noroeste,6.IV.2014 – UTC-7,26.X.2014 – UTC-8
  Zona Pacífico,6.IV.2014 – UTC-6,26.X.2014 – UTC-7
Micronesia,No change – UTC+11,No change – UTC+11
Republic of Moldova (the),30.III.2014 – UTC+3,26.X.2014 – UTC+2
Monaco,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Mongolia,No change – UTC+8,No change – UTC+8
Montenegro,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Montserrat,No change – UTC-4 ,No change – UTC-4 
Morocco,30.III.2014 – UTC+1,26.X.2014 – UTC
Mozambique,No change – UTC+2 ,No change – UTC+2 
Myanmar,No change – UTC+6.30,No change – UTC+6.30
Namibia,7.IX.2014 – UTC+2,6.IV.2014 – UTC+1
Nauru,No change – UTC+12,No change – UTC+12
Nepal,No change – UTC+5.45,No change – UTC+5.45
Netherlands,30.III.2014 – UTC+2,26.X.2014 – UTC+1
New Caledonia,No change – UTC+11,No change – UTC+11
New Zealand,28.IX.2014 – UTC+13,6.IV.2014 – UTC+12
Nicaragua,No change – UTC-6 ,No change – UTC-6 
Niger,No change – UTC+1 ,No change – UTC+1 
Nigeria,No change – UTC+1,No change – UTC+1
Niue,No change – UTC-11,No change – UTC-11
Northern Mariana Islands,No change – UTC+10,No change – UTC+10
Norway,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Oman,No change – UTC+4 ,No change – UTC+4 
Pakistan,No change – UTC+5 ,No change – UTC+5 
Palau,No change – UTC+9,No change – UTC+9
Panama,No change – UTC-5,No change – UTC-5
Papua New Guinea,No change – UTC+10,No change – UTC+10
Paraguay,5.X.2014 – UTC-3,13.IV.2014 – UTC-4
Peru,No change – UTC-5 ,No change – UTC-5 
Philippines,No change – UTC+8,No change – UTC+8
Poland,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Portugal,30.III.2014 – UTC+1,26.X.2014 – UTC
Puerto Rico,No change – UTC-4,No change – UTC-4
Qatar,No change – UTC+3,No change – UTC+3
Romania,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Russian Federation,　,　
"Moscow, St. Petersburg",No change – UTC+4,No change – UTC+4
Rwanda,No change – UTC+2,No change – UTC+2
"Saint Helena, Ascension and Tristan da Cunha",No change – UTC,No change – UTC
Saint Kitts and Nevis,No change – UTC-4 ,No change – UTC-4 
Saint Lucia,No change – UTC-4,No change – UTC-4
Saint Pierre and Miquelon,9.III.2014 – UTC-2,2.XI.2014 – UTC-3
Saint Vincent and the Grenadines,No change – UTC-4,No change – UTC-4
Samoa,28.IX.2014 – UTC+14,6.IV.2014 – UTC+13
San Marino,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Sao Tome and Principe,No change – UTC,No change – UTC
Saudi Arabia,No change – UTC+3,No change – UTC+3
Senegal,No change – UTC,No change – UTC
Serbia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Seychelles,No change – UTC+4,No change – UTC+4
Sierra Leone,No change – UTC,No change – UTC
Singapore,No change – UTC+8,No change – UTC+8
Sint Maarten,No change – UTC-4,No change – UTC-4
Slovakia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Slovenia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Solomon Islands,No change – UTC+11 ,No change – UTC+11 
Somalia,No change – UTC+3 ,No change – UTC+3 
South Africa,No change – UTC+2,No change – UTC+2
South Sudan,No change – UTC+3,No change – UTC+3
Spain,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Sri Lanka,No change – UTC+5.30,No change – UTC+5.30
Sudan,No change – UTC+3 ,No change – UTC+3 
Suriname,No change – UTC-3 ,No change – UTC-3 
Swaziland,No change – UTC+2,No change – UTC+2
Sweden,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Switzerland,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Syrian Arab Republic,28.III.2014 – UTC+3,31.X.2014 – UTC+2
"Taiwan, China",No change – UTC+8 ,No change – UTC+8 
Tajikistan,No change – UTC+5 ,No change – UTC+5 
Tanzania,No change – UTC+3,No change – UTC+3
Thailand,No change – UTC+7,No change – UTC+7
The Former Yugoslav Republic of Macedonia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Timor-Leste,No change – UTC+9 ,No change – UTC+9 
Togo,No change – UTC,No change – UTC
Tokelau,No change – UTC+13,No change – UTC+13
Tonga,No change – UTC+13,No change – UTC+13
Trinidad and Tobago,No change – UTC-4,No change – UTC-4
Tunisia,No change – UTC+1,No change – UTC+1
Turkey,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Turkmenistan,No change – UTC+5 ,No change – UTC+5 
Turks and Caicos Islands,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
Tuvalu,No change – UTC+12,No change – UTC+12
Uganda,No change – UTC+3,No change – UTC+3
Ukraine,30.III.2014 – UTC+3,26.X.2014 – UTC+2
United Arab Emirates,No change – UTC+4 ,No change – UTC+4 
United Kingdom,30.III.2014 – UTC+1,26.X.2014 – UTC
United States,　,　
  Eastern time,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
  Central time,9.III.2014 – UTC-5,2.XI.2014 – UTC-6
  Mountain time,9.III.2014 – UTC-6,2.XI.2014 – UTC-7
  Pacific time,9.III.2014 – UTC-7,2.XI.2014 – UTC-8
  Alaska,9.III.2014 – UTC-8,2.XI.2014 – UTC-9
  Hawaiian,No change – UTC-10,No change – UTC-10
United States Virgin Islands,No change – UTC-4,No change – UTC-4
Uruguay,5.X.2014 – UTC-2,9.III.2014 – UTC-3
Uzbekistan,No change – UTC+5,No change – UTC+5
Vanuatu,No change – UTC+11,No change – UTC+11
Vatican,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Venezuela (Bolivarian Republic of),No change – UTC-4.30,No change – UTC-4.30
Viet Nam,No change – UTC+7,No change – UTC+7
Wallis and Futuna,No change – UTC+12 ,No change – UTC+12 
Yemen,No change – UTC+3,No change – UTC+3
Zambia,No change – UTC+2,No change – UTC+2
Zimbabwe,No change – UTC+2,No change – UTC+2
